"(0.7735849056603774, [])","(0.7735849056603774, [7])","(0.779874213836478, [7, 19])","(0.779874213836478, [7, 19, 3])","(0.779874213836478, [7, 19, 3, 0])","(0.779874213836478, [7, 19, 3, 0, 17])","(0.779874213836478, [7, 19, 3, 0, 17, 8])","(0.779874213836478, [7, 19, 3, 0, 17, 8, 16])","(0.779874213836478, [7, 19, 3, 0, 17, 8, 16, 11])","(0.779874213836478, [7, 19, 3, 0, 17, 8, 16, 11, 18])","(0.7861635220125787, [7, 19, 3, 0, 17, 8, 16, 11, 18, 2])","(0.7924528301886793, [7, 19, 3, 0, 17, 8, 16, 11, 18, 2, 13])","(0.7861635220125787, [7, 19, 3, 0, 17, 8, 16, 11, 18, 2, 13, 12])","(0.7861635220125787, [7, 19, 3, 0, 17, 8, 16, 11, 18, 2, 13, 12, 5])","(0.779874213836478, [7, 19, 3, 0, 17, 8, 16, 11, 18, 2, 13, 12, 5, 15])","(0.7735849056603774, [7, 19, 3, 0, 17, 8, 16, 11, 18, 2, 13, 12, 5, 15, 4])","(0.7924528301886793, [7, 19, 3, 0, 17, 8, 16, 11, 18, 2, 13, 12, 5, 15, 4, 6])","(0.7358490566037735, [7, 19, 3, 0, 17, 8, 16, 11, 18, 2, 13, 12, 5, 15, 4, 6, 1])","(0.6855345911949685, [7, 19, 3, 0, 17, 8, 16, 11, 18, 2, 13, 12, 5, 15, 4, 6, 1, 10])","(0.6855345911949685, [7, 19, 3, 0, 17, 8, 16, 11, 18, 2, 13, 12, 5, 15, 4, 6, 1, 10, 14])"
"(0.7547169811320755, [])","(0.7547169811320755, [17])","(0.7484276729559748, [17, 19])","(0.7610062893081762, [17, 19, 11])","(0.7735849056603774, [17, 19, 11, 7])","(0.7735849056603774, [17, 19, 11, 7, 8])","(0.7735849056603774, [17, 19, 11, 7, 8, 3])","(0.7735849056603774, [17, 19, 11, 7, 8, 3, 16])","(0.7672955974842768, [17, 19, 11, 7, 8, 3, 16, 0])","(0.7610062893081762, [17, 19, 11, 7, 8, 3, 16, 0, 2])","(0.7610062893081762, [17, 19, 11, 7, 8, 3, 16, 0, 2, 18])","(0.7610062893081762, [17, 19, 11, 7, 8, 3, 16, 0, 2, 18, 13])","(0.7547169811320755, [17, 19, 11, 7, 8, 3, 16, 0, 2, 18, 13, 12])","(0.7547169811320755, [17, 19, 11, 7, 8, 3, 16, 0, 2, 18, 13, 12, 5])","(0.7547169811320755, [17, 19, 11, 7, 8, 3, 16, 0, 2, 18, 13, 12, 5, 15])","(0.7672955974842768, [17, 19, 11, 7, 8, 3, 16, 0, 2, 18, 13, 12, 5, 15, 4])","(0.7295597484276729, [17, 19, 11, 7, 8, 3, 16, 0, 2, 18, 13, 12, 5, 15, 4, 6])","(0.7169811320754716, [17, 19, 11, 7, 8, 3, 16, 0, 2, 18, 13, 12, 5, 15, 4, 6, 1])","(0.6729559748427673, [17, 19, 11, 7, 8, 3, 16, 0, 2, 18, 13, 12, 5, 15, 4, 6, 1, 10])","(0.6477987421383647, [17, 19, 11, 7, 8, 3, 16, 0, 2, 18, 13, 12, 5, 15, 4, 6, 1, 10, 14])"
"(0.6918238993710691, [])","(0.6918238993710691, [16])","(0.6918238993710691, [16, 7])","(0.6918238993710691, [16, 7, 11])","(0.6918238993710691, [16, 7, 11, 18])","(0.6918238993710691, [16, 7, 11, 18, 8])","(0.6918238993710691, [16, 7, 11, 18, 8, 17])","(0.6855345911949685, [16, 7, 11, 18, 8, 17, 19])","(0.7044025157232704, [16, 7, 11, 18, 8, 17, 19, 3])","(0.6918238993710691, [16, 7, 11, 18, 8, 17, 19, 3, 0])","(0.6855345911949685, [16, 7, 11, 18, 8, 17, 19, 3, 0, 2])","(0.6855345911949685, [16, 7, 11, 18, 8, 17, 19, 3, 0, 2, 13])","(0.6792452830188679, [16, 7, 11, 18, 8, 17, 19, 3, 0, 2, 13, 12])","(0.6729559748427673, [16, 7, 11, 18, 8, 17, 19, 3, 0, 2, 13, 12, 5])","(0.6792452830188679, [16, 7, 11, 18, 8, 17, 19, 3, 0, 2, 13, 12, 5, 15])","(0.6540880503144654, [16, 7, 11, 18, 8, 17, 19, 3, 0, 2, 13, 12, 5, 15, 4])","(0.6666666666666666, [16, 7, 11, 18, 8, 17, 19, 3, 0, 2, 13, 12, 5, 15, 4, 6])","(0.6415094339622641, [16, 7, 11, 18, 8, 17, 19, 3, 0, 2, 13, 12, 5, 15, 4, 6, 1])","(0.6415094339622641, [16, 7, 11, 18, 8, 17, 19, 3, 0, 2, 13, 12, 5, 15, 4, 6, 1, 14])","(0.660377358490566, [16, 7, 11, 18, 8, 17, 19, 3, 0, 2, 13, 12, 5, 15, 4, 6, 1, 14, 9])"
"(0.710691823899371, [])","(0.710691823899371, [16])","(0.710691823899371, [16, 19])","(0.710691823899371, [16, 19, 17])","(0.710691823899371, [16, 19, 17, 11])","(0.7232704402515723, [16, 19, 17, 11, 7])","(0.7169811320754716, [16, 19, 17, 11, 7, 8])","(0.7232704402515723, [16, 19, 17, 11, 7, 8, 3])","(0.7232704402515723, [16, 19, 17, 11, 7, 8, 3, 0])","(0.7232704402515723, [16, 19, 17, 11, 7, 8, 3, 0, 2])","(0.7232704402515723, [16, 19, 17, 11, 7, 8, 3, 0, 2, 18])","(0.7295597484276729, [16, 19, 17, 11, 7, 8, 3, 0, 2, 18, 13])","(0.7295597484276729, [16, 19, 17, 11, 7, 8, 3, 0, 2, 18, 13, 12])","(0.7295597484276729, [16, 19, 17, 11, 7, 8, 3, 0, 2, 18, 13, 12, 5])","(0.7295597484276729, [16, 19, 17, 11, 7, 8, 3, 0, 2, 18, 13, 12, 5, 4])","(0.7232704402515723, [16, 19, 17, 11, 7, 8, 3, 0, 2, 18, 13, 12, 5, 4, 1])","(0.7169811320754716, [16, 19, 17, 11, 7, 8, 3, 0, 2, 18, 13, 12, 5, 4, 1, 6])","(0.7169811320754716, [16, 19, 17, 11, 7, 8, 3, 0, 2, 18, 13, 12, 5, 4, 1, 6, 15])","(0.6729559748427673, [16, 19, 17, 11, 7, 8, 3, 0, 2, 18, 13, 12, 5, 4, 1, 6, 15, 10])","(0.6540880503144654, [16, 19, 17, 11, 7, 8, 3, 0, 2, 18, 13, 12, 5, 4, 1, 6, 15, 10, 14])"
"(0.7735849056603774, [])","(0.7735849056603774, [16])","(0.779874213836478, [16, 19])","(0.7735849056603774, [16, 19, 8])","(0.7735849056603774, [16, 19, 8, 3])","(0.7735849056603774, [16, 19, 8, 3, 7])","(0.7672955974842768, [16, 19, 8, 3, 7, 0])","(0.7672955974842768, [16, 19, 8, 3, 7, 0, 2])","(0.7672955974842768, [16, 19, 8, 3, 7, 0, 2, 11])","(0.7672955974842768, [16, 19, 8, 3, 7, 0, 2, 11, 18])","(0.7610062893081762, [16, 19, 8, 3, 7, 0, 2, 11, 18, 13])","(0.7547169811320755, [16, 19, 8, 3, 7, 0, 2, 11, 18, 13, 12])","(0.7547169811320755, [16, 19, 8, 3, 7, 0, 2, 11, 18, 13, 12, 5])","(0.7610062893081762, [16, 19, 8, 3, 7, 0, 2, 11, 18, 13, 12, 5, 4])","(0.7610062893081762, [16, 19, 8, 3, 7, 0, 2, 11, 18, 13, 12, 5, 4, 15])","(0.7547169811320755, [16, 19, 8, 3, 7, 0, 2, 11, 18, 13, 12, 5, 4, 15, 17])","(0.7610062893081762, [16, 19, 8, 3, 7, 0, 2, 11, 18, 13, 12, 5, 4, 15, 17, 6])","(0.7232704402515723, [16, 19, 8, 3, 7, 0, 2, 11, 18, 13, 12, 5, 4, 15, 17, 6, 1])","(0.6666666666666666, [16, 19, 8, 3, 7, 0, 2, 11, 18, 13, 12, 5, 4, 15, 17, 6, 1, 10])","(0.6666666666666666, [16, 19, 8, 3, 7, 0, 2, 11, 18, 13, 12, 5, 4, 15, 17, 6, 1, 10, 14])"
"(0.7547169811320755, [])","(0.7547169811320755, [17])","(0.7547169811320755, [17, 16])","(0.7610062893081762, [17, 16, 19])","(0.7610062893081762, [17, 16, 19, 11])","(0.7610062893081762, [17, 16, 19, 11, 18])","(0.7672955974842768, [17, 16, 19, 11, 18, 7])","(0.7672955974842768, [17, 16, 19, 11, 18, 7, 8])","(0.7672955974842768, [17, 16, 19, 11, 18, 7, 8, 0])","(0.7610062893081762, [17, 16, 19, 11, 18, 7, 8, 0, 3])","(0.779874213836478, [17, 16, 19, 11, 18, 7, 8, 0, 3, 2])","(0.7610062893081762, [17, 16, 19, 11, 18, 7, 8, 0, 3, 2, 13])","(0.7672955974842768, [17, 16, 19, 11, 18, 7, 8, 0, 3, 2, 13, 12])","(0.7672955974842768, [17, 16, 19, 11, 18, 7, 8, 0, 3, 2, 13, 12, 5])","(0.7484276729559748, [17, 16, 19, 11, 18, 7, 8, 0, 3, 2, 13, 12, 5, 4])","(0.7484276729559748, [17, 16, 19, 11, 18, 7, 8, 0, 3, 2, 13, 12, 5, 4, 1])","(0.7295597484276729, [17, 16, 19, 11, 18, 7, 8, 0, 3, 2, 13, 12, 5, 4, 1, 6])","(0.710691823899371, [17, 16, 19, 11, 18, 7, 8, 0, 3, 2, 13, 12, 5, 4, 1, 6, 15])","(0.6855345911949685, [17, 16, 19, 11, 18, 7, 8, 0, 3, 2, 13, 12, 5, 4, 1, 6, 15, 10])","(0.6729559748427673, [17, 16, 19, 11, 18, 7, 8, 0, 3, 2, 13, 12, 5, 4, 1, 6, 15, 10, 14])"
"(0.6855345911949685, [])","(0.6855345911949685, [17])","(0.6855345911949685, [17, 16])","(0.6855345911949685, [17, 16, 7])","(0.6855345911949685, [17, 16, 7, 8])","(0.6855345911949685, [17, 16, 7, 8, 11])","(0.6792452830188679, [17, 16, 7, 8, 11, 3])","(0.6792452830188679, [17, 16, 7, 8, 11, 3, 19])","(0.6918238993710691, [17, 16, 7, 8, 11, 3, 19, 0])","(0.6981132075471698, [17, 16, 7, 8, 11, 3, 19, 0, 2])","(0.6981132075471698, [17, 16, 7, 8, 11, 3, 19, 0, 2, 18])","(0.6981132075471698, [17, 16, 7, 8, 11, 3, 19, 0, 2, 18, 13])","(0.710691823899371, [17, 16, 7, 8, 11, 3, 19, 0, 2, 18, 13, 12])","(0.710691823899371, [17, 16, 7, 8, 11, 3, 19, 0, 2, 18, 13, 12, 5])","(0.710691823899371, [17, 16, 7, 8, 11, 3, 19, 0, 2, 18, 13, 12, 5, 15])","(0.7232704402515723, [17, 16, 7, 8, 11, 3, 19, 0, 2, 18, 13, 12, 5, 15, 4])","(0.7044025157232704, [17, 16, 7, 8, 11, 3, 19, 0, 2, 18, 13, 12, 5, 15, 4, 6])","(0.6855345911949685, [17, 16, 7, 8, 11, 3, 19, 0, 2, 18, 13, 12, 5, 15, 4, 6, 1])","(0.6855345911949685, [17, 16, 7, 8, 11, 3, 19, 0, 2, 18, 13, 12, 5, 15, 4, 6, 1, 14])","(0.6792452830188679, [17, 16, 7, 8, 11, 3, 19, 0, 2, 18, 13, 12, 5, 15, 4, 6, 1, 14, 9])"
"(0.7358490566037735, [])","(0.7358490566037735, [7])","(0.7358490566037735, [7, 19])","(0.7358490566037735, [7, 19, 8])","(0.7358490566037735, [7, 19, 8, 17])","(0.7484276729559748, [7, 19, 8, 17, 3])","(0.7484276729559748, [7, 19, 8, 17, 3, 16])","(0.7421383647798742, [7, 19, 8, 17, 3, 16, 0])","(0.7484276729559748, [7, 19, 8, 17, 3, 16, 0, 2])","(0.7484276729559748, [7, 19, 8, 17, 3, 16, 0, 2, 12])","(0.7484276729559748, [7, 19, 8, 17, 3, 16, 0, 2, 12, 13])","(0.7484276729559748, [7, 19, 8, 17, 3, 16, 0, 2, 12, 13, 11])","(0.7484276729559748, [7, 19, 8, 17, 3, 16, 0, 2, 12, 13, 11, 18])","(0.7358490566037735, [7, 19, 8, 17, 3, 16, 0, 2, 12, 13, 11, 18, 5])","(0.7358490566037735, [7, 19, 8, 17, 3, 16, 0, 2, 12, 13, 11, 18, 5, 15])","(0.7232704402515723, [7, 19, 8, 17, 3, 16, 0, 2, 12, 13, 11, 18, 5, 15, 4])","(0.7232704402515723, [7, 19, 8, 17, 3, 16, 0, 2, 12, 13, 11, 18, 5, 15, 4, 6])","(0.6666666666666666, [7, 19, 8, 17, 3, 16, 0, 2, 12, 13, 11, 18, 5, 15, 4, 6, 1])","(0.6477987421383647, [7, 19, 8, 17, 3, 16, 0, 2, 12, 13, 11, 18, 5, 15, 4, 6, 1, 10])","(0.6289308176100629, [7, 19, 8, 17, 3, 16, 0, 2, 12, 13, 11, 18, 5, 15, 4, 6, 1, 10, 14])"
"(0.7672955974842768, [])","(0.7672955974842768, [17])","(0.7672955974842768, [17, 16])","(0.7672955974842768, [17, 16, 19])","(0.7547169811320755, [17, 16, 19, 3])","(0.7610062893081762, [17, 16, 19, 3, 7])","(0.7672955974842768, [17, 16, 19, 3, 7, 0])","(0.7672955974842768, [17, 16, 19, 3, 7, 0, 8])","(0.7484276729559748, [17, 16, 19, 3, 7, 0, 8, 2])","(0.7735849056603774, [17, 16, 19, 3, 7, 0, 8, 2, 13])","(0.7861635220125787, [17, 16, 19, 3, 7, 0, 8, 2, 13, 11])","(0.7735849056603774, [17, 16, 19, 3, 7, 0, 8, 2, 13, 11, 18])","(0.7610062893081762, [17, 16, 19, 3, 7, 0, 8, 2, 13, 11, 18, 12])","(0.779874213836478, [17, 16, 19, 3, 7, 0, 8, 2, 13, 11, 18, 12, 5])","(0.779874213836478, [17, 16, 19, 3, 7, 0, 8, 2, 13, 11, 18, 12, 5, 15])","(0.7987421383647799, [17, 16, 19, 3, 7, 0, 8, 2, 13, 11, 18, 12, 5, 15, 4])","(0.779874213836478, [17, 16, 19, 3, 7, 0, 8, 2, 13, 11, 18, 12, 5, 15, 4, 6])","(0.7421383647798742, [17, 16, 19, 3, 7, 0, 8, 2, 13, 11, 18, 12, 5, 15, 4, 6, 1])","(0.6352201257861635, [17, 16, 19, 3, 7, 0, 8, 2, 13, 11, 18, 12, 5, 15, 4, 6, 1, 10])","(0.6352201257861635, [17, 16, 19, 3, 7, 0, 8, 2, 13, 11, 18, 12, 5, 15, 4, 6, 1, 10, 14])"
"(0.7421383647798742, [])","(0.7421383647798742, [19])","(0.7421383647798742, [19, 16])","(0.7421383647798742, [19, 16, 3])","(0.7421383647798742, [19, 16, 3, 7])","(0.7547169811320755, [19, 16, 3, 7, 0])","(0.7547169811320755, [19, 16, 3, 7, 0, 17])","(0.7610062893081762, [19, 16, 3, 7, 0, 17, 11])","(0.7610062893081762, [19, 16, 3, 7, 0, 17, 11, 8])","(0.7421383647798742, [19, 16, 3, 7, 0, 17, 11, 8, 2])","(0.7421383647798742, [19, 16, 3, 7, 0, 17, 11, 8, 2, 18])","(0.7484276729559748, [19, 16, 3, 7, 0, 17, 11, 8, 2, 18, 13])","(0.7232704402515723, [19, 16, 3, 7, 0, 17, 11, 8, 2, 18, 13, 4])","(0.7295597484276729, [19, 16, 3, 7, 0, 17, 11, 8, 2, 18, 13, 4, 1])","(0.7421383647798742, [19, 16, 3, 7, 0, 17, 11, 8, 2, 18, 13, 4, 1, 12])","(0.7358490566037735, [19, 16, 3, 7, 0, 17, 11, 8, 2, 18, 13, 4, 1, 12, 5])","(0.7358490566037735, [19, 16, 3, 7, 0, 17, 11, 8, 2, 18, 13, 4, 1, 12, 5, 6])","(0.7232704402515723, [19, 16, 3, 7, 0, 17, 11, 8, 2, 18, 13, 4, 1, 12, 5, 6, 15])","(0.5911949685534591, [19, 16, 3, 7, 0, 17, 11, 8, 2, 18, 13, 4, 1, 12, 5, 6, 15, 10])","(0.5974842767295597, [19, 16, 3, 7, 0, 17, 11, 8, 2, 18, 13, 4, 1, 12, 5, 6, 15, 10, 14])"
